Pixel_X,Pixel_Y,World_X,World_Y
93,116,10,464
93,200,10,466
92,281,10,468
93,363,10,470
92,445,10,472
91,527,10,474
90,610,10,476
204,117,8,464
204,200,8,466
204,281,8,468
203,363,8,470
204,445,8,472
201,527,8,474
201,610,8,476
314,119,6,464
314,201,6,466
313,281,6,468
313,363,6,470
313,444,6,472
313,527,6,474
312,609,6,476
422,119,4,464
423,201,4,466
423,282,4,468
424,363,4,470
422,445,4,472
422,525,4,474
421,608,4,476
532,121,2,464
532,201,2,466
531,283,2,468
531,363,2,470
531,444,2,472
530,526,2,474
531,608,2,476
640,119,0,464
638,202,0,466
639,283,0,468
640,363,0,470
640,443,0,472
639,526,0,474
639,607,0,476
747,121,-2,464
747,201,-2,466
747,283,-2,468
747,363,-2,470
747,445,-2,472
747,525,-2,474
748,609,-2,476
855,122,-4,464
855,200,-4,466
855,282,-4,468
855,363,-4,470
856,444,-4,472
857,526,-4,474
857,609,-4,476
963,120,-6,464
963,200,-6,466
964,282,-6,468
963,364,-6,470
964,445,-6,472
965,526,-6,474
966,608,-6,476
1073,120,-8,464
1071,201,-8,466
1073,282,-8,468
1073,362,-8,470
1073,444,-8,472
1074,527,-8,474
1075,608,-8,476
1182,120,-10,464
1182,200,-10,466
1182,281,-10,468
1181,364,-10,470
1183,445,-10,472
1184,527,-10,474
1185,609,-10,476
