Pixel_X,Pixel_Y,World_X,World_Y
418.6,263.0,100,410
418.6,297.0,100,430
418.2,329.8,100,450
418.6,363.0,100,470
418.2,396.2,100,490
417.8,429.4,100,510
417.4,463.0,100,530
463.5,263.4,80,410
463.5,297.0,80,430
463.5,329.8,80,450
463.1,363.0,80,470
463.5,396.2,80,490
462.3,429.4,80,510
462.3,463.0,80,530
508.0,264.2,60,410
508.0,297.4,60,430
507.6,329.8,60,450
507.6,363.0,60,470
507.6,395.8,60,490
507.6,429.4,60,510
507.2,462.6,60,530
551.8,264.2,40,410
552.2,297.4,40,430
552.2,330.2,40,450
552.6,363.0,40,470
551.8,396.2,40,490
551.8,428.6,40,510
551.4,462.2,40,530
596.3,265.0,20,410
596.3,297.4,20,430
595.9,330.6,20,450
595.9,363.0,20,470
595.9,395.8,20,490
595.5,429.0,20,510
595.9,462.2,20,530
640.0,264.2,0,410
639.2,297.8,0,430
639.6,330.6,0,450
640.0,363.0,0,470
640.0,395.4,0,490
639.6,429.0,0,510
639.6,461.8,0,530
683.3,265.0,-20,410
683.3,297.4,-20,430
683.3,330.6,-20,450
683.3,363.0,-20,470
683.3,396.2,-20,490
683.3,428.6,-20,510
683.7,462.6,-20,530
727.0,265.5,-40,410
727.0,297.0,-40,430
727.0,330.2,-40,450
727.0,363.0,-40,470
727.4,395.8,-40,490
727.8,429.0,-40,510
727.8,462.6,-40,530
770.7,264.6,-60,410
770.7,297.0,-60,430
771.1,330.2,-60,450
770.7,363.4,-60,470
771.1,396.2,-60,490
771.5,429.0,-60,510
772.0,462.2,-60,530
815.3,264.6,-80,410
814.5,297.4,-80,430
815.3,330.2,-80,450
815.3,362.6,-80,470
815.3,395.8,-80,490
815.7,429.4,-80,510
816.1,462.2,-80,530
859.4,264.6,-100,410
859.4,297.0,-100,430
859.4,329.8,-100,450
859.0,363.4,-100,470
859.8,396.2,-100,490
860.2,429.4,-100,510
860.6,462.6,-100,530
